Year,Field Number,Cell,Observation Type,Observation Location,Observation Depth (m),Rake Fullness (veg),Rake Fullness (fil algae),Photo Voucher?,Sample Kept,tbl6 Aquat Veg Observations.Notes,Species,Common_Name,Leaf Description (if ID unkn),Dominant Species,Present at Site,Present in Observation,Kept,Weight_g,Volume_mL,Processed By,Processed Date,tbl6-1 Aquat Veg Species.Notes
2023,2023-LCS-NWA-080823-001A,East cell,Rake,Adjacent,1.2,3,0,Yes,Yes,,Ceratophyllum demersum,Coontail,,1,1,1,1,514.8,520,J. Parker,1/3/2024,
2023,2023-LCS-NWA-080823-001A,East cell,Rake,Adjacent,1.2,3,0,Yes,Yes,,Elodea canadensis,Canada waterweed,,0,1,1,1,13.7,14,J. Parker,1/3/2024,
2023,2023-LCS-NWA-080823-001A,East cell,Rake,Adjacent,1.2,3,0,Yes,Yes,,Nymphaea odorata,White water lily,,0,1,1,1,13.9,16,J. Parker,1/3/2024,
2023,2023-LCS-NWA-080823-001A,East cell,Rake,Adjacent,1.2,3,0,Yes,Yes,,Pontederia cordata,Pickerelweed,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-001A,East cell,Rake,Adjacent,1.2,3,0,Yes,Yes,,Potamogeton pusillus,Slender pondweed,,0,1,1,1,0.1,0,J. Parker,1/3/2024,
2023,2023-LCS-NWA-080823-001A,East cell,Rake,Adjacent,1.2,3,0,Yes,Yes,,Typha sp.,Cattail sp.,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-002A,East cell,Rake,Adjacent,1.26,3,0,Yes,Yes,,Ceratophyllum demersum,Coontail,,1,1,1,1,391.2,380,J. Parker,12/13/2023,
2023,2023-LCS-NWA-080823-002A,East cell,Rake,Adjacent,1.26,3,0,Yes,Yes,,Elodea canadensis,Canada waterweed,,0,1,1,1,0.8,0,J. Parker,12/13/2023,
2023,2023-LCS-NWA-080823-002A,East cell,Rake,Adjacent,1.26,3,0,Yes,Yes,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-002A,East cell,Rake,Adjacent,1.26,3,0,Yes,Yes,,Nymphaea odorata,White water lily,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-002A,East cell,Rake,Adjacent,1.26,3,0,Yes,Yes,,Phragmites australis,Common reed,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-002A,East cell,Rake,Adjacent,1.26,3,0,Yes,Yes,,Stuckenia pectinatus,Sago pondweed,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-002A,East cell,Rake,Adjacent,1.26,3,0,Yes,Yes,,Typha sp.,Cattail sp.,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Ceratophyllum demersum,Coontail,,0,1,1,1,10.3,12,J. Parker,1/2/2024,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Elodea canadensis,Canada waterweed,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Hydrocharis morsus-ranae,European frog-bit,,0,1,1,1,2.7,4,J. Parker,1/2/2024,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Myriophyllum spicatum,Eurasian water milfoil,,0,1,1,1,64.6,70,J. Parker,1/2/2024,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Nymphaea odorata,White water lily,,1,1,1,1,165.3,180,J. Parker,1/2/2024,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Potamogeton pusillus,Slender pondweed,,0,1,1,1,8.3,10,J. Parker,1/2/2024,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Stuckenia pectinatus,Sago pondweed,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Typha sp.,Cattail sp.,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-003A,East cell,Rake,Adjacent,0.94,3,0,Yes,Yes,,Utricularia sp.,Bladderwort sp.,,0,1,1,1,28.5,30,J. Parker,1/2/2024,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Ceratophyllum demersum,Coontail,,0,1,1,1,17.2,18,J. Parker,12/22/2023,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Elodea canadensis,Canada waterweed,,0,1,1,1,3.9,4,J. Parker,12/22/2023,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Hydrocharis morsus-ranae,European frog-bit,,0,1,1,1,21.1,24,J. Parker,12/22/2023,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Lemna sp.,Duckweed sp.,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Myriophyllum spicatum,Eurasian water milfoil,,1,1,1,1,31.4,40,J. Parker,12/22/2023,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Nymphaea odorata,White water lily,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Potamogeton pusillus,Slender pondweed,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Stuckenia pectinatus,Sago pondweed,,0,1,1,1,0.8,0,J. Parker,12/22/2023,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Typha sp.,Cattail sp.,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-004A,East cell,Rake,Adjacent,1.25,1,0,Yes,Yes,,Utricularia sp.,Bladderwort sp.,,0,1,0,0,,,,,
2023,2023-LCS-NWA-080823-005A,East cell,Rake,Adjacent,1.23,1,0,Yes,Yes,,Ceratophyllum demersum,Coontail,,0,1,1,1,27,25,J. Parker,12/22/2023,
