Project Name,Field Number,Stream depth (m),Year
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-001A,0.5,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-001A,0.49,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-001A,0.61,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-002A,0.74,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-002A,0.7,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-002A,0.46,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-003A,0.25,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-003A,0.32,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-003A,0.51,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-004A,0.63,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-004A,0.66,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-004A,0.62,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-005A,0.73,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-005A,0.58,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-005A,0.48,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-006A,0.73,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-006A,0.54,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-006A,0.45,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-007A,0.65,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-007A,0.64,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-170918-007A,0.53,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-001A,0.52,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-001A,0.65,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-001A,0.74,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-002A,0.71,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-002A,0.74,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-002A,0.9,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-003A,0.72,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-003A,0.86,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-003A,0.92,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-004A,0.72,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-004A,0.83,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-004A,0.89,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-005A,0.81,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-005A,0.89,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-005A,0.91,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-006A,0.85,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-006A,0.81,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-006A,0.88,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-007A,0.58,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-007A,0.92,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-180918-007A,0.92,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-001A,0.18,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-001A,0.61,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-001A,0.54,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-002A,0.76,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-002A,0.64,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-002A,0.14,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-003A,0.74,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-003A,0.61,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-003A,0.74,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-004A,0.82,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-004A,0.84,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-004A,0.81,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-005A,0.69,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-005A,1.2,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-005A,1.5,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-006A,0.67,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-006A,0.93,2018
