Project Name,Year,Day,Month,Field Number,Bin Number,Species,Total Length (mm),Total Weight (g)
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018,18,September,2018-NWA-LCS-170918-005A,1,Erimyzon sucetta,75,
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018,18,September,2018-NWA-LCS-170918-006A,1,Erimyzon sucetta,183,90.2
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018,18,September,2018-NWA-LCS-170918-006A,1,Erimyzon sucetta,77,5.6
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018,18,September,2018-NWA-LCS-190918-003A,1,Erimyzon sucetta,200,103.9
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018,18,September,2018-NWA-LCS-190918-005A,1,Erimyzon sucetta,145,41.1
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018,18,September,2018-NWA-LCS-190918-005A,1,Erimyzon sucetta,153,44.6
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-090919-001A,1,Erimyzon sucetta,66,
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-090919-007A,1,Erimyzon sucetta,135,31.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-100919-002A,1,Erimyzon sucetta,61,2.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-100919-002A,1,Erimyzon sucetta,66,4.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-110919-002A,1,Erimyzon sucetta,145,46.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-160919-009A,1,Erimyzon sucetta,193,113
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-160919-010A,1,Erimyzon sucetta,215,151.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-180919-003A,1,Erimyzon sucetta,75,4.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-180919-003A,1,Erimyzon sucetta,77,5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-180919-005A,1,Erimyzon sucetta,196,107.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-180919-008A,1,Erimyzon sucetta,74,4.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-180919-008A,1,Erimyzon sucetta,79,4.5
2019 St. Clair NWA Drawdown - Community Assessment,2019,19,September,2019-NWA-LCS-180919-010A,1,Erimyzon sucetta,83,6
