Project,Field Number,Date,Month,Year,Date fished,Waterbody Name,Start Latitude,Start Longitude,Bin Number,Species,Number Captured,Caught > Number captured
2023-LCS-NWA-,2023-LCS-NWA-080823-001A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37674,-82.40026,1,Lepomis gibbosus,12,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-001A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37674,-82.40026,1,Lepomis macrochirus,8,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-001A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37674,-82.40026,1,Micropterus nigricans,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-001A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37674,-82.40026,1,Pomoxis nigromaculatus,2,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-002A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.3727,-82.39969,1,Lepomis gibbosus,4,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-002A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.3727,-82.39969,1,Pomoxis nigromaculatus,3,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-002A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.3727,-82.39969,1,Amia ocellicauda,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-003A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37053,-82.40087,1,Lepomis gibbosus,14,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-003A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37053,-82.40087,1,Pomoxis nigromaculatus,2,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-003A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37053,-82.40087,1,Micropterus nigricans,3,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-003A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37053,-82.40087,1,Umbra limi,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-003A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.37053,-82.40087,1,Amia ocellicauda,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Lepomis macrochirus,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Pomoxis nigromaculatus,10,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Micropterus nigricans,5,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Notemigonus crysoleucas,2,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Lepomis gibbosus,5,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Umbra limi,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Erimyzon sucetta,12,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Ameiurus melas,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-004A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.36695,-82.40346,1,Amia ocellicauda,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-005A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.3652,-82.4044,1,Amia ocellicauda,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-005A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.3652,-82.4044,1,Micropterus nigricans,4,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-005A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.3652,-82.4044,1,Pomoxis nigromaculatus,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-005A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.3652,-82.4044,1,Lepomis gibbosus,7,FALSE
2023-LCS-NWA-,2023-LCS-NWA-080823-005A,8-Aug-23,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,42.3652,-82.4044,1,Erimyzon sucetta,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-090823-001A,9-Aug-23,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,42.37432,-82.39981,1,Pomoxis nigromaculatus,6,FALSE
2023-LCS-NWA-,2023-LCS-NWA-090823-001A,9-Aug-23,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,42.37432,-82.39981,1,Lepomis macrochirus,8,FALSE
2023-LCS-NWA-,2023-LCS-NWA-090823-001A,9-Aug-23,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,42.37432,-82.39981,1,Notemigonus crysoleucas,1,FALSE
2023-LCS-NWA-,2023-LCS-NWA-090823-001A,9-Aug-23,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,42.37432,-82.39981,1,Lepomis sp,8,FALSE
2023-LCS-NWA-,2023-LCS-NWA-090823-001A,9-Aug-23,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,42.37432,-82.39981,1,Lepomis gibbosus,5,FALSE
2023-LCS-NWA-,2023-LCS-NWA-090823-002A,9-Aug-23,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,42.37138,-82.40026,1,Lepomis gibbosus,10,FALSE
2023-LCS-NWA-,2023-LCS-NWA-090823-002A,9-Aug-23,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,42.37138,-82.40026,1,Lepomis macrochirus,11,FALSE
2023-LCS-NWA-,2023-LCS-NWA-090823-002A,9-Aug-23,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,42.37138,-82.40026,1,Micropterus nigricans,4,FALSE
