Project Name,Field Number,Bin Number,Number Captured,Species,Minimum (mm),Maximum (mm),Year
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-001A,1,12,Lepomis gibbosus,71,117,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-001A,1,8,Lepomis macrochirus,28,111,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-001A,1,1,Micropterus nigricans,64,64,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-001A,1,2,Pomoxis nigromaculatus,61,129,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-002A,1,4,Lepomis gibbosus,86,152,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-002A,1,3,Pomoxis nigromaculatus,47,244,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-002A,1,1,Amia ocellicauda,425,425,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-003A,1,14,Lepomis gibbosus,109,155,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-003A,1,2,Pomoxis nigromaculatus,113,125,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-003A,1,3,Micropterus nigricans,72,351,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-003A,1,1,Umbra limi,29,29,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-003A,1,1,Amia ocellicauda,516,516,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,2,Lepomis macrochirus,56,56,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,9,Pomoxis nigromaculatus,51,139,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,5,Micropterus nigricans,72,234,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,2,Notemigonus crysoleucas,47,53,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,5,Lepomis gibbosus,69,140,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,1,Umbra limi,27,27,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,12,Erimyzon sucetta,35,49,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,1,Ameiurus melas,306,306,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1,1,Amia ocellicauda,454,454,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-005A,1,1,Amia ocellicauda,385,385,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-005A,1,4,Micropterus nigricans,140,237,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-005A,1,1,Pomoxis nigromaculatus,203,203,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-005A,1,7,Lepomis gibbosus,118,159,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-005A,1,1,Erimyzon sucetta,209,209,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-001A,1,6,Pomoxis nigromaculatus,38,233,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-001A,1,8,Lepomis macrochirus,33,177,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-001A,1,1,Notemigonus crysoleucas,94,94,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-001A,1,8,Lepomis sp,20,30,2023
