,Field.Number,Project.Name,Project,Bin.Number,Number.Captured,Species,Minimum..mm.,Maximum..mm.,Year,Historical.Project.Code,Date,Day,Month,Date.fished,Waterbody.Name,Start.Time,Stop.Time,Start.Latitude,Start.Longitude,Gear,Effort,Quantification.of.Effort,Air.Temperature,Water.Temperature,Conductivity,Dissolved.Oxygen,pH,Secchi.Tube...measured,Secchi.Tube..m.,Turbidity..ntu.,Stream.Width..m.,Distance.From.Shore..m.,Sample.Area.Width..m.,Sample.Area.Length..m.,Dominant.Vegetation,Floodplain.Use,Bank.Slope....,Channel.Cover....,Weather.Conditions,Wind.Speed..km.h.,Wind.Direction,Weather.Notes,Organic,Clay,Silt,Sand,Gravel,Cobble,Boulder,Bedrock,Hardpan,Rubble,Concrete,ND,Dominant_substrate,Emergent,Floating,Submerged,Open.Water,Not_recorded_aqua_veg,Dominant_aqua_veg,Deciduous,Coniferous,Herbaceous,shrubs,None,tbl1.4_riparian_veg.Unknown,Not.recorded,Dominant_riparian_veg,Aquatic.Animal.Notes,Description.of.Gear,Narrative.Locality.Description,Notes_SpeciesID,Final.Notes,Mean_depth_m
1,2023-LCS-NWA-080823-001A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,12,Lepomis gibbosus,71,117,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,4:57:00 PM,9:53:00 AM,42.37674,-82.40026,MFN,16.93,hours,31.7,22.83,389.3,8.39,7.72,FALSE,1.02,4.6,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,3.3,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,10,75,10,NA,Submerged,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"miniDOT launched at 16:57. Fyke Logger @9:53 am: 22.24 degrees C, 3.14 mg/L.",1.49
2,2023-LCS-NWA-080823-001A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,8,Lepomis macrochirus,28,111,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,4:57:00 PM,9:53:00 AM,42.37674,-82.40026,MFN,16.93,hours,31.7,22.83,389.3,8.39,7.72,FALSE,1.02,4.6,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,3.3,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,10,75,10,NA,Submerged,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"miniDOT launched at 16:57. Fyke Logger @9:53 am: 22.24 degrees C, 3.14 mg/L.",1.49
3,2023-LCS-NWA-080823-001A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Micropterus nigricans,64,64,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,4:57:00 PM,9:53:00 AM,42.37674,-82.40026,MFN,16.93,hours,31.7,22.83,389.3,8.39,7.72,FALSE,1.02,4.6,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,3.3,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,10,75,10,NA,Submerged,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"miniDOT launched at 16:57. Fyke Logger @9:53 am: 22.24 degrees C, 3.14 mg/L.",1.49
4,2023-LCS-NWA-080823-001A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,2,Pomoxis nigromaculatus,61,129,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,4:57:00 PM,9:53:00 AM,42.37674,-82.40026,MFN,16.93,hours,31.7,22.83,389.3,8.39,7.72,FALSE,1.02,4.6,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,3.3,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,10,75,10,NA,Submerged,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"miniDOT launched at 16:57. Fyke Logger @9:53 am: 22.24 degrees C, 3.14 mg/L.",1.49
5,2023-LCS-NWA-080823-002A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,4,Lepomis gibbosus,86,152,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,5:39:00 PM,10:47:00 AM,42.3727,-82.39969,MFN,17.13,hours,32.4,22.81,423.7,7.11,7.35,FALSE,1.18,9.11,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,1.5,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,65,20,10,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East, along berm, past pedestrian bridge",,HIS: 32.5,1.49
6,2023-LCS-NWA-080823-002A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,3,Pomoxis nigromaculatus,47,244,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,5:39:00 PM,10:47:00 AM,42.3727,-82.39969,MFN,17.13,hours,32.4,22.81,423.7,7.11,7.35,FALSE,1.18,9.11,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,1.5,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,65,20,10,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East, along berm, past pedestrian bridge",,HIS: 32.5,1.49
7,2023-LCS-NWA-080823-002A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,1,Amia ocellicauda,425,425,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,5:39:00 PM,10:47:00 AM,42.3727,-82.39969,MFN,17.13,hours,32.4,22.81,423.7,7.11,7.35,FALSE,1.18,9.11,NA,NA,NA,NA,Ceratophyllum demersum,,NA,NA,Mixed sun and cloud,1.5,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,65,20,10,NA,Floating,0,0,100,0,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East, along berm, past pedestrian bridge",,HIS: 32.5,1.49
8,2023-LCS-NWA-080823-003A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,14,Lepomis gibbosus,109,155,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:08:00 PM,11:35:00 AM,42.37053,-82.40087,MFN,17.45,hours,29.4,21.35,423.7,2.46,7.18,FALSE,1.19,14.01,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,4.5,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,35,10,NA,Floating,0,0,80,20,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, North of viewing platform",,"Fyke logger (when pulled): 21.74 degrees C, 1.28 mg/L.",0.98
9,2023-LCS-NWA-080823-003A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,2,Pomoxis nigromaculatus,113,125,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:08:00 PM,11:35:00 AM,42.37053,-82.40087,MFN,17.45,hours,29.4,21.35,423.7,2.46,7.18,FALSE,1.19,14.01,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,4.5,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,35,10,NA,Floating,0,0,80,20,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, North of viewing platform",,"Fyke logger (when pulled): 21.74 degrees C, 1.28 mg/L.",0.98
10,2023-LCS-NWA-080823-003A,2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,1,3,Micropterus nigricans,72,351,2023,,8-Aug-23,8,8,9-Aug-23,St. Clair NWA - East Cell SCU,6:08:00 PM,11:35:00 AM,42.37053,-82.40087,MFN,17.45,hours,29.4,21.35,423.7,2.46,7.18,FALSE,1.19,14.01,NA,NA,NA,NA,Nymphaea sp.,,NA,NA,Mixed sun and cloud,4.5,SW,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,ND,5,50,35,10,NA,Floating,0,0,80,20,0,0,NA,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, North of viewing platform",,"Fyke logger (when pulled): 21.74 degrees C, 1.28 mg/L.",0.98
