Serial_Number,Site_Name,Latitude,Longitude,Local_Date_Time,Temperature_C,Temp_Change_Back,Temp_Change_Fwd,DO_mgL,DO_Change_Back,DO_Change_Fwd,Air_Exposure_Flag,Battery_V,Q,Unix_Time,Project_Code,Waterbody,Start_Time,End_Time,Notes,Group
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T21:43:00Z,24.218,NA,0.28600000000000136,7.94,NA,0.5870000000000006,Clean,3.42,0.921,1691530980,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T21:53:00Z,23.932,-0.28600000000000136,-0.13500000000000156,7.353,-0.5870000000000006,-0.08900000000000041,Clean,3.42,0.921,1691531580,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T22:03:00Z,24.067,0.13500000000000156,-0.14199999999999946,7.442,0.08900000000000041,0.006000000000000227,Clean,3.42,0.921,1691532180,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T22:13:00Z,24.209,0.14199999999999946,-0.13400000000000034,7.436,-0.006000000000000227,-0.025000000000000355,Clean,3.42,0.921,1691532780,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T22:23:00Z,24.343,0.13400000000000034,-0.16799999999999926,7.461,0.025000000000000355,-0.274,Clean,3.42,0.921,1691533380,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T22:33:00Z,24.511,0.16799999999999926,-0.03400000000000247,7.735,0.274,-0.7969999999999997,Clean,3.42,0.921,1691533980,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T22:43:00Z,24.545,0.03400000000000247,-0.1599999999999966,8.532,0.7969999999999997,-0.0030000000000001137,Clean,3.42,0.921,1691534580,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T22:53:00Z,24.705,0.1599999999999966,-0.05800000000000338,8.535,0.0030000000000001137,0.10800000000000054,Clean,3.42,0.922,1691535180,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T23:03:00Z,24.763,0.05800000000000338,-0.04199999999999804,8.427,-0.10800000000000054,-0.7320000000000011,Clean,3.42,0.921,1691535780,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
7450-049711,2023-LCS-NWA-080823-002A,42.3727,-82.39969,2023-08-08T23:13:00Z,24.805,0.04199999999999804,-0.08500000000000085,9.159,0.7320000000000011,-0.058999999999999275,Clean,3.42,0.922,1691536380,2023-LCS-NWA,St Clair NWA - East Cell,2023-08-08T21:39:00Z,2023-08-09T14:47:00Z,NA,in-fyke
