Project Name,Field Number,Historical Project Code,Date,Start Latitude,Start Longitude
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-001A,,8-Aug-23,42.37674,-82.40026
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-002A,,8-Aug-23,42.3727,-82.39969
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-003A,,8-Aug-23,42.37053,-82.40087
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,,8-Aug-23,42.36695,-82.40346
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-005A,,8-Aug-23,42.3652,-82.4044
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-001A,,9-Aug-23,42.37432,-82.39981
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-002A,,9-Aug-23,42.37138,-82.40026
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-003A,,9-Aug-23,42.36848,-82.40214
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-004A,,9-Aug-23,42.36789,-82.40285
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-005A,,9-Aug-23,42.36626,-82.4038
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-006A,,9-Aug-23,42.3645,-82.40466
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-001A,,10-Aug-23,42.3778,-82.40118
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-002A,,10-Aug-23,42.37521,-82.39992
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,,10-Aug-23,42.37379,-82.39931
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-004A,,10-Aug-23,42.37284,-82.39887
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-005A,,10-Aug-23,42.36972,-82.40112
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,,10-Aug-23,42.37606,-82.39867
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,,14-Aug-23,42.36402,-82.40488
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,,14-Aug-23,42.36334,-82.40481
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,,14-Aug-23,42.36224,-82.4049
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,,14-Aug-23,42.36126,-82.40477
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,,14-Aug-23,42.36026,-82.40524
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-006A,,14-Aug-23,42.3626,-82.40299
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-001A,,15-Aug-23,42.36613,-82.39956
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,,15-Aug-23,42.36676,-82.39813
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,,15-Aug-23,42.36727,-82.39663
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,,15-Aug-23,42.36876,-82.39487
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,,15-Aug-23,42.36764,-82.39662
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-006A,,15-Aug-23,42.36993,-82.3935
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,,16-Aug-23,42.36187,-82.40272
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,,16-Aug-23,42.36143,-82.40347
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,,16-Aug-23,42.36192,-82.40484
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,,16-Aug-23,42.3629,-82.40486
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-005A,,16-Aug-23,42.37214,-82.39974
