Time_sec,BV_Volts,Temperature_C,DO_mgL,Q,SN,InWater,DateTime,Field.Number,Date,Time,www.epochconverter.com,0.006944444
,,22.83,8.39,,YSI,SET,8/8/2023 16:57,2023-LCS-NWA-080823-001A,8/8/2023,16:57,,
1691529420,3.42,24.816,8.648,0.966,7450-770855,TRUE,8/8/2023 17:17,2023-LCS-NWA-080823-001A,8/8/2023,17:17,,
1691530020,3.42,24.195,8.718,0.967,7450-770855,TRUE,8/8/2023 17:27,2023-LCS-NWA-080823-001A,8/8/2023,17:27,,
1691530380,3.42,24.52,7.924,0.921,7450-049711,TRUE,8/8/2023 17:33,2023-LCS-NWA-080823-002A,8/8/2023,17:33,,
1691530620,3.42,24.044,8.496,0.967,7450-770855,TRUE,8/8/2023 17:37,2023-LCS-NWA-080823-001A,8/8/2023,17:37,,
,,22.81,7.11,,YSI,SET,8/8/2023 17:39,2023-LCS-NWA-080823-002A,8/8/2023,17:39,,
1691530980,3.42,24.218,7.94,0.921,7450-049711,TRUE,8/8/2023 17:43,2023-LCS-NWA-080823-002A,8/8/2023,17:43,,
1691531220,3.42,24.019,8.226,0.966,7450-770855,TRUE,8/8/2023 17:47,2023-LCS-NWA-080823-001A,8/8/2023,17:47,,
1691531580,3.42,23.932,7.353,0.921,7450-049711,TRUE,8/8/2023 17:53,2023-LCS-NWA-080823-002A,8/8/2023,17:53,,
1691531820,3.42,24.01,8.093,0.966,7450-770855,TRUE,8/8/2023 17:57,2023-LCS-NWA-080823-001A,8/8/2023,17:57,,
1691532180,3.42,24.067,7.442,0.921,7450-049711,TRUE,8/8/2023 18:03,2023-LCS-NWA-080823-002A,8/8/2023,18:03,,
1691532420,3.42,24.01,7.992,0.967,7450-770855,TRUE,8/8/2023 18:07,2023-LCS-NWA-080823-001A,8/8/2023,18:07,,
,,21.35,2.46,,YSI,SET,8/8/2023 18:08,2023-LCS-NWA-080823-003A,8/8/2023,18:08,,
1691532780,3.42,24.209,7.436,0.921,7450-049711,TRUE,8/8/2023 18:13,2023-LCS-NWA-080823-002A,8/8/2023,18:13,,
1691533020,3.42,24.027,7.958,0.966,7450-770855,TRUE,8/8/2023 18:17,2023-LCS-NWA-080823-001A,8/8/2023,18:17,,
1691533020,3.42,23.635,2.972,0.972,7450-064567,TRUE,8/8/2023 18:17,2023-LCS-NWA-080823-003A,8/8/2023,18:17,,
1691533380,3.42,24.343,7.461,0.921,7450-049711,TRUE,8/8/2023 18:23,2023-LCS-NWA-080823-002A,8/8/2023,18:23,,
1691533620,3.42,24.035,7.905,0.967,7450-770855,TRUE,8/8/2023 18:27,2023-LCS-NWA-080823-001A,8/8/2023,18:27,,
1691533620,3.42,22.814,3.208,0.974,7450-064567,TRUE,8/8/2023 18:27,2023-LCS-NWA-080823-003A,8/8/2023,18:27,,
1691533980,3.42,24.511,7.735,0.921,7450-049711,TRUE,8/8/2023 18:33,2023-LCS-NWA-080823-002A,8/8/2023,18:33,,
1691534220,3.42,24.044,7.897,0.966,7450-770855,TRUE,8/8/2023 18:37,2023-LCS-NWA-080823-001A,8/8/2023,18:37,,
1691534220,3.42,22.597,3.181,0.975,7450-064567,TRUE,8/8/2023 18:37,2023-LCS-NWA-080823-003A,8/8/2023,18:37,,
1691534580,3.42,24.545,8.532,0.921,7450-049711,TRUE,8/8/2023 18:43,2023-LCS-NWA-080823-002A,8/8/2023,18:43,,
1691534820,3.42,24.077,7.871,0.966,7450-770855,TRUE,8/8/2023 18:47,2023-LCS-NWA-080823-001A,8/8/2023,18:47,,
1691534820,3.42,22.48,3.181,0.975,7450-064567,TRUE,8/8/2023 18:47,2023-LCS-NWA-080823-003A,8/8/2023,18:47,,
1691535180,3.42,24.705,8.535,0.922,7450-049711,TRUE,8/8/2023 18:53,2023-LCS-NWA-080823-002A,8/8/2023,18:53,,
1691535420,3.42,24.111,7.978,0.967,7450-770855,TRUE,8/8/2023 18:57,2023-LCS-NWA-080823-001A,8/8/2023,18:57,,
1691535420,3.42,22.404,3.096,0.975,7450-064567,TRUE,8/8/2023 18:57,2023-LCS-NWA-080823-003A,8/8/2023,18:57,,
1691535780,3.42,24.763,8.427,0.921,7450-049711,TRUE,8/8/2023 19:03,2023-LCS-NWA-080823-002A,8/8/2023,19:03,,
1691536020,3.42,24.136,8.025,0.966,7450-770855,TRUE,8/8/2023 19:07,2023-LCS-NWA-080823-001A,8/8/2023,19:07,,
1691536020,3.42,22.404,2.754,0.974,7450-064567,TRUE,8/8/2023 19:07,2023-LCS-NWA-080823-003A,8/8/2023,19:07,,
1691536380,3.42,24.805,9.159,0.922,7450-049711,TRUE,8/8/2023 19:13,2023-LCS-NWA-080823-002A,8/8/2023,19:13,,
,,21.94,2.80,,YSI,SET,8/8/2023 19:13,2023-LCS-NWA-080823-005A,8/8/2023,19:13,,
1691536620,3.42,24.111,8.059,0.966,7450-770855,TRUE,8/8/2023 19:17,2023-LCS-NWA-080823-001A,8/8/2023,19:17,,
1691536620,3.42,22.547,3.158,0.975,7450-064567,TRUE,8/8/2023 19:17,2023-LCS-NWA-080823-003A,8/8/2023,19:17,,
1691536980,3.42,24.89,9.218,0.922,7450-049711,TRUE,8/8/2023 19:23,2023-LCS-NWA-080823-002A,8/8/2023,19:23,,
1691537220,3.42,24.161,8.145,0.966,7450-770855,TRUE,8/8/2023 19:27,2023-LCS-NWA-080823-001A,8/8/2023,19:27,,
