Field Number,Year,Plant Species Name,Common name,Weight (g),Displacement Volume (mL),Processed by,Processing date,Entered by,Date entered,Audited by,Date audited
2023-LCS-NWA-080823-001A,2023,Ceratophyllum demersum,Coontail,514.8,520,J. Parker,1/3/2024,J. Parker,1/3/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-080823-001A,2023,Potamogeton pusillus,"Pondweed, slender",0.1,0,J. Parker,1/3/2024,J. Parker,1/3/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-080823-001A,2023,Elodea canadensis,Canada waterweed,13.7,14,J. Parker,1/3/2024,J. Parker,1/3/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-080823-001A,2023,Nymphaea sp.,"Water lily, white",13.9,16,J. Parker,1/3/2024,J. Parker,1/3/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-080823-002A,2023,Ceratophyllum demersum,Coontail,391.2,380,J. Parker,12/13/2023,J. Parker,1/3/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-080823-002A,2023,Elodea canadensis,Canada waterweed,0.8,0,J. Parker,12/13/2023,J. Parker,1/3/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-080823-003A,2023,Nymphaea sp.,"Water lily, white",165.3,180,J. Parker,1/2/2024,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-003A,2023,Hydrocharis morsus-ranae,European frog-bit,2.7,4,J. Parker,1/2/2024,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-003A,2023,Ceratophyllum demersum,Coontail,10.3,12,J. Parker,1/2/2024,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-003A,2023,Myriophyllum spicatum,"Water milfoil, Eurasian",64.6,70,J. Parker,1/2/2024,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-003A,2023,Utricularia sp.,Bladderwort sp.,28.5,30,J. Parker,1/2/2024,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-003A,2023,Potamogeton pusillus,"Pondweed, slender",8.3,10,J. Parker,1/2/2024,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-004A,2023,Ceratophyllum demersum,Coontail,17.2,18,J. Parker,12/22/2023,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-004A,2023,Myriophyllum spicatum,"Water milfoil, Eurasian",31.4,40,J. Parker,12/22/2023,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-004A,2023,Hydrocharis morsus-ranae,European frog-bit,21.1,24,J. Parker,12/22/2023,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-004A,2023,Stuckenia pectinatus,"Pondweed, Sago",0.8,0,J. Parker,12/22/2023,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-004A,2023,Elodea canadensis,Canada waterweed,3.9,4,J. Parker,12/22/2023,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-005A,2023,Ceratophyllum demersum,Coontail,27,25,J. Parker,12/22/2023,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-005A,2023,Utricularia sp.,Bladderwort sp.,0.1,0,J. Parker,12/22/2023,J. Parker,1/3/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-001A,2023,Ceratophyllum demersum,Coontail,132.1,130,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-002A,2023,Utricularia sp.,Bladderwort sp.,13.5,14,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-002A,2023,Stuckenia pectinatus,"Pondweed, Sago",172.7,180,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-002A,2023,Myriophyllum spicatum,"Water milfoil, Eurasian",113.3,120,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-002A,2023,Ceratophyllum demersum,Coontail,23.9,25,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-002A,2023,Potamogeton pusillus,"Pondweed, slender",1.1,0,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-002A,2023,Lemna trisulca,"Duckweed, star",0.2,0,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-002A,2023,Najas sp.,Naiad sp.,27.2,28,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-003A,2023,Utricularia sp.,Bladderwort sp.,12,12,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-003A,2023,Lemna trisulca,"Duckweed, star",0.2,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-003A,2023,Potamogeton pusillus,"Pondweed, slender",8.5,8,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-003A,2023,Nymphaea sp.,"Water lily, white",143,160,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-003A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-004A,2023,Ceratophyllum demersum,Coontail,188.5,190,J. Parker,12/14/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-004A,2023,Nymphaea sp.,"Water lily, white",1201.7,1250,J. Parker,12/14/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-005A,2023,Nymphaea sp.,"Water lily, white",117.8,140,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-005A,2023,Ceratophyllum demersum,Coontail,0.1,0,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,7.1,12,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-006A,2023,Ceratophyllum demersum,Coontail,139.7,140,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-006A,2023,Elodea canadensis,Canada waterweed,61,65,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-090823-006A,2023,Potamogeton pusillus,"Pondweed, slender",10.4,12,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-001A,2023,Ceratophyllum demersum,Coontail,800,833,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-001A,2023,Nymphaea sp.,"Water lily, white",60.8,65,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,26.7,28,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-001A,2023,Lemna trisulca,"Duckweed, star",0.1,0,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-001A,2023,Potamogeton pusillus,"Pondweed, slender",11.3,12,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-002A,2023,Nymphaea sp.,"Water lily, white",227.2,255,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-002A,2023,Ceratophyllum demersum,Coontail,40.2,45,J. Parker,12/22/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-003A,2023,Nymphaea sp.,"Water lily, white",93.1,110,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-003A,2023,Ceratophyllum demersum,Coontail,29.2,32,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-004A,2023,Ceratophyllum demersum,Coontail,0.5,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-004A,2023,Myriophyllum spicatum,"Water milfoil, Eurasian",63.2,70,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-004A,2023,Utricularia sp.,Bladderwort sp.,24.5,30,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-004A,2023,Elodea canadensis,Canada waterweed,0.4,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-004A,2023,Algae,Algae,2.8,2,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-005A,2023,Myriophyllum spicatum,"Water milfoil, Eurasian",97.3,110,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
2023-LCS-NWA-100823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,0.3,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/24/2024
