Field.Number,Date,Year,Cell,ObsDepth,Fullness_veg,Fullness_alg,PHOTO,SampleKept,RakeNotes,SciName,ComName,Leaf Description (if ID unkn),DOM,Present_Site,Present_Rake,Present_Lab,Kept,Weight_g,Volume_mL,LabNotes
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,2.5,2,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Elodea canadensis,Common waterweed,,0,1,0,0,0,,,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,0,,,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Juncus sp.,Rush sp.,,0,1,0,0,0,,,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Lemna sp.,Duckweed sp.,round leaves,0,1,0,1,1,0,0,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Nitellopsis obtusa,Starry stonewort,,1,1,1,1,1,166,175,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,0,1,0,0,0,,,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Pontederia cordata,Pickerelweed,,0,1,0,0,0,,,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Potamogeton pusillus,Slender pondweed,,0,1,0,1,1,0.1,0,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Utricularia sp.,Bladderwort sp.,,0,1,1,1,1,0.6,1,
2024-LCS-NWA-070824-001A,7-Aug-24,2024,East,0.76,3,0,TRUE,TRUE,,Utricularia vulgaris,Common bladderwort,,0,1,0,1,1,32.7,34,
2024-LCS-NWA-070824-002A,7-Aug-24,2024,East,0.95,1,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,11.5,12,
2024-LCS-NWA-070824-002A,7-Aug-24,2024,East,0.95,1,0,TRUE,TRUE,,Hydrocharis morsus-ranae,European frog-bit,,0,1,0,0,0,,,
2024-LCS-NWA-070824-002A,7-Aug-24,2024,East,0.95,1,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-070824-002A,7-Aug-24,2024,East,0.95,1,0,TRUE,TRUE,,Nymphaea sp.,White water lily,,1,1,1,1,1,55.9,70,"Leaves: 45mL, Stems: 25mL"
2024-LCS-NWA-070824-002A,7-Aug-24,2024,East,0.95,1,0,TRUE,TRUE,,Spirodela polyrhiza,Greater duckweed,,0,1,0,1,1,0,0,
2024-LCS-NWA-070824-003A,7-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,,Ceratophyllum demersum,Coontail,,0,1,1,1,1,9.9,9,
2024-LCS-NWA-070824-003A,7-Aug-24,2024,East,0.9,2,0,TRUE,TRUE,,Lemna minor,Lesser duckweed,,0,1,0,0,0,,,
