Field.Number,Year,Species,Common.Name,Weight_g,Volume_mL,Cell,Rake_depth_m,SAV_category,Algae_category
2023-LCS-NWA-080823-001A,2023,Elodea canadensis,Canada waterweed,13.7,14,East cell,1.2,3,0
2023-LCS-NWA-080823-001A,2023,Ceratophyllum demersum,Coontail,514.8,520,East cell,1.2,3,0
2023-LCS-NWA-080823-001A,2023,Potamogeton pusillus,Slender pondweed,0.1,0,East cell,1.2,3,0
2023-LCS-NWA-080823-001A,2023,Nymphaea sp.,White water lily,13.9,16,East cell,1.2,3,0
2023-LCS-NWA-080823-002A,2023,Elodea canadensis,Canada waterweed,0.8,0,East cell,1.26,3,0
2023-LCS-NWA-080823-002A,2023,Ceratophyllum demersum,Coontail,391.2,380,East cell,1.26,3,0
2023-LCS-NWA-080823-003A,2023,Utricularia sp.,Bladderwort sp.,28.5,30,East cell,0.94,3,0
2023-LCS-NWA-080823-003A,2023,Ceratophyllum demersum,Coontail,10.3,12,East cell,0.94,3,0
2023-LCS-NWA-080823-003A,2023,Hydrocharis morsus-ranae,European frog-bit,2.7,4,East cell,0.94,3,0
2023-LCS-NWA-080823-003A,2023,Potamogeton pusillus,Slender pondweed,8.3,10,East cell,0.94,3,0
2023-LCS-NWA-080823-003A,2023,Nymphaea sp.,White water lily,165.3,180,East cell,0.94,3,0
2023-LCS-NWA-080823-003A,2023,Myriophyllum spicatum,Eurasian water milfoil,64.6,70,East cell,0.94,3,0
2023-LCS-NWA-080823-004A,2023,Elodea canadensis,Canada waterweed,3.9,4,East cell,1.25,1,0
2023-LCS-NWA-080823-004A,2023,Ceratophyllum demersum,Coontail,17.2,18,East cell,1.25,1,0
2023-LCS-NWA-080823-004A,2023,Hydrocharis morsus-ranae,European frog-bit,21.1,24,East cell,1.25,1,0
2023-LCS-NWA-080823-004A,2023,Stuckenia pectinatus,Sago pondweed,0.8,0,East cell,1.25,1,0
2023-LCS-NWA-080823-004A,2023,Myriophyllum spicatum,Eurasian water milfoil,31.4,40,East cell,1.25,1,0
2023-LCS-NWA-080823-005A,2023,Utricularia sp.,Bladderwort sp.,0.1,0,East cell,1.23,1,0
2023-LCS-NWA-080823-005A,2023,Ceratophyllum demersum,Coontail,27,25,East cell,1.23,1,0
2023-LCS-NWA-090823-001A,2023,Ceratophyllum demersum,Coontail,132.1,130,East cell,1.23,1,0
2023-LCS-NWA-090823-002A,2023,Utricularia sp.,Bladderwort sp.,13.5,14,East cell,0.698,3,0
2023-LCS-NWA-090823-002A,2023,Ceratophyllum demersum,Coontail,23.9,25,East cell,0.698,3,0
2023-LCS-NWA-090823-002A,2023,Lemna trisulca,Star duckweed,0.2,0,East cell,0.698,3,0
2023-LCS-NWA-090823-002A,2023,Najas sp.,Water nymph sp.,27.2,28,East cell,0.698,3,0
2023-LCS-NWA-090823-002A,2023,Stuckenia pectinatus,Sago pondweed,172.7,180,East cell,0.698,3,0
2023-LCS-NWA-090823-002A,2023,Potamogeton pusillus,Slender pondweed,1.1,0,East cell,0.698,3,0
2023-LCS-NWA-090823-002A,2023,Myriophyllum spicatum,Eurasian water milfoil,113.3,120,East cell,0.698,3,0
2023-LCS-NWA-090823-003A,2023,Utricularia sp.,Bladderwort sp.,12,12,East cell,0.455,1,0
2023-LCS-NWA-090823-003A,2023,Lemna sp.,Duckweed sp.,0,0,East cell,0.455,1,0
2023-LCS-NWA-090823-003A,2023,Lemna trisulca,Star duckweed,0.2,0,East cell,0.455,1,0
2023-LCS-NWA-090823-003A,2023,Potamogeton pusillus,Slender pondweed,8.5,8,East cell,0.455,1,0
2023-LCS-NWA-090823-003A,2023,Nymphaea sp.,White water lily,143,160,East cell,0.455,1,0
2023-LCS-NWA-090823-004A,2023,Ceratophyllum demersum,Coontail,188.5,190,East cell,1.03,3,0
2023-LCS-NWA-090823-004A,2023,Nymphaea sp.,White water lily,1201.7,1250,East cell,1.03,3,0
2023-LCS-NWA-090823-005A,2023,Ceratophyllum demersum,Coontail,0.1,0,East cell,0.71,1,0
2023-LCS-NWA-090823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,7.1,12,East cell,0.71,1,0
2023-LCS-NWA-090823-005A,2023,Nymphaea sp.,White water lily,117.8,140,East cell,0.71,1,0
2023-LCS-NWA-090823-006A,2023,Elodea canadensis,Canada waterweed,61,65,East cell,1,2,0
2023-LCS-NWA-090823-006A,2023,Ceratophyllum demersum,Coontail,139.7,140,East cell,1,2,0
2023-LCS-NWA-090823-006A,2023,Potamogeton pusillus,Slender pondweed,10.4,12,East cell,1,2,0
2023-LCS-NWA-100823-001A,2023,Ceratophyllum demersum,Coontail,800,833,East cell,1.6,3,0
2023-LCS-NWA-100823-001A,2023,Lemna trisulca,Star duckweed,0.1,0,East cell,1.6,3,0
2023-LCS-NWA-100823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,26.7,28,East cell,1.6,3,0
2023-LCS-NWA-100823-001A,2023,Potamogeton pusillus,Slender pondweed,11.3,12,East cell,1.6,3,0
2023-LCS-NWA-100823-001A,2023,Nymphaea sp.,White water lily,60.8,65,East cell,1.6,3,0
2023-LCS-NWA-100823-002A,2023,Ceratophyllum demersum,Coontail,40.2,45,East cell,1.31,1,0
2023-LCS-NWA-100823-002A,2023,Nymphaea sp.,White water lily,227.2,255,East cell,1.31,1,0
2023-LCS-NWA-100823-003A,2023,Ceratophyllum demersum,Coontail,29.2,32,East cell,0.775,1,0
2023-LCS-NWA-100823-003A,2023,Nymphaea sp.,White water lily,93.1,110,East cell,0.775,1,0
2023-LCS-NWA-100823-004A,2023,Algae,Algae,2.8,2,East cell,0.758,2,1
2023-LCS-NWA-100823-004A,2023,Utricularia sp.,Bladderwort sp.,24.5,30,East cell,0.758,2,1
2023-LCS-NWA-100823-004A,2023,Elodea canadensis,Canada waterweed,0.4,0,East cell,0.758,2,1
2023-LCS-NWA-100823-004A,2023,Ceratophyllum demersum,Coontail,0.5,0,East cell,0.758,2,1
2023-LCS-NWA-100823-004A,2023,Myriophyllum spicatum,Eurasian water milfoil,63.2,70,East cell,0.758,2,1
2023-LCS-NWA-100823-005A,2023,Elodea canadensis,Canada waterweed,1.1,2,East cell,0.834,1,0
2023-LCS-NWA-100823-005A,2023,Lemna sp.,Duckweed sp.,0,0,East cell,0.834,1,0
2023-LCS-NWA-100823-005A,2023,Lemna trisulca,Star duckweed,0,0,East cell,0.834,1,0
2023-LCS-NWA-100823-005A,2023,Hydrocharis morsus-ranae,European frog-bit,0.3,0,East cell,0.834,1,0
2023-LCS-NWA-100823-005A,2023,Myriophyllum spicatum,Eurasian water milfoil,97.3,110,East cell,0.834,1,0
2023-LCS-NWA-100823-006A,2023,Ceratophyllum demersum,Coontail,10.9,12,East cell,0.605,3,1
2023-LCS-NWA-100823-006A,2023,Chara sp.,Chara sp.,287.1,290,East cell,0.605,3,1
2023-LCS-NWA-100823-006A,2023,Nymphaea sp.,White water lily,24.3,26,East cell,0.605,3,1
2023-LCS-NWA-140823-001A,2023,Elodea canadensis,Canada waterweed,816.8,800,East cell,1.284,3,0
2023-LCS-NWA-140823-001A,2023,Ceratophyllum demersum,Coontail,522.8,520,East cell,1.284,3,0
2023-LCS-NWA-140823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,14.3,18,East cell,1.284,3,0
2023-LCS-NWA-140823-001A,2023,Potamogeton pusillus,Slender pondweed,30.5,30,East cell,1.284,3,0
2023-LCS-NWA-140823-001A,2023,Nymphaea sp.,White water lily,461.8,480,East cell,1.284,3,0
2023-LCS-NWA-140823-002A,2023,Utricularia sp.,Bladderwort sp.,3.7,4,East cell,0.49,2,0
2023-LCS-NWA-140823-002A,2023,Elodea canadensis,Canada waterweed,0.1,0,East cell,0.49,2,0
2023-LCS-NWA-140823-002A,2023,Ceratophyllum demersum,Coontail,0.4,0,East cell,0.49,2,0
2023-LCS-NWA-140823-002A,2023,Lemna trisulca,Star duckweed,0.2,0,East cell,0.49,2,0
2023-LCS-NWA-140823-002A,2023,Hydrocharis morsus-ranae,European frog-bit,30.8,40,East cell,0.49,2,0
2023-LCS-NWA-140823-002A,2023,Potamogeton pusillus,Slender pondweed,0.1,0,East cell,0.49,2,0
2023-LCS-NWA-140823-002A,2023,Nymphaea sp.,White water lily,260.3,290,East cell,0.49,2,0
2023-LCS-NWA-140823-002A,2023,Myriophyllum spicatum,Eurasian water milfoil,0.9,2,East cell,0.49,2,0
2023-LCS-NWA-140823-003A,2023,Elodea canadensis,Canada waterweed,26.2,30,East cell,1.292,2,0
2023-LCS-NWA-140823-003A,2023,Ceratophyllum demersum,Coontail,62.3,60,East cell,1.292,2,0
2023-LCS-NWA-140823-003A,2023,Potamogeton pusillus,Slender pondweed,3.7,4,East cell,1.292,2,0
2023-LCS-NWA-140823-004A,2023,Ceratophyllum demersum,Coontail,0.1,0,East cell,0.672,3,0
2023-LCS-NWA-140823-004A,2023,Chara sp.,Chara sp.,62.1,65,East cell,0.672,3,0
2023-LCS-NWA-140823-005A,2023,No Vegetation,No Vegetation,,,East cell,1.03,0,0
2023-LCS-NWA-140823-006A,2023,Nymphaea sp.,White water lily,15.1,18,East cell,0.573,1,0
2023-LCS-NWA-150823-001A,2023,Nymphaea sp.,White water lily,78.5,100,East cell,0.539,1,0
2023-LCS-NWA-150823-002A,2023,Utricularia sp.,Bladderwort sp.,30.6,36,East cell,0.43,2,0
2023-LCS-NWA-150823-002A,2023,Ceratophyllum demersum,Coontail,0.3,0,East cell,0.43,2,0
2023-LCS-NWA-150823-002A,2023,Nymphaea sp.,White water lily,10.5,12,East cell,0.43,2,0
2023-LCS-NWA-150823-003A,2023,Ceratophyllum demersum,Coontail,4.6,6,East cell,0.491,1,0
2023-LCS-NWA-150823-004A,2023,Utricularia sp.,Bladderwort sp.,67.8,65,East cell,0.785,3,0
2023-LCS-NWA-150823-004A,2023,Ceratophyllum demersum,Coontail,5.3,6,East cell,0.785,3,0
2023-LCS-NWA-150823-004A,2023,Nymphaea sp.,White water lily,179.6,230,East cell,0.785,3,0
2023-LCS-NWA-150823-005A,2023,Utricularia sp.,Bladderwort sp.,12.9,15,East cell,0.42,1,0
2023-LCS-NWA-150823-005A,2023,Nymphaea sp.,White water lily,0.9,2,East cell,0.42,1,0
2023-LCS-NWA-150823-006A,2023,Ceratophyllum demersum,Coontail,5.9,6,East cell,0.421,1,0
2023-LCS-NWA-150823-006A,2023,Nymphaea sp.,White water lily,0.8,0,East cell,0.421,1,0
2023-LCS-NWA-160823-001A,2023,Ceratophyllum demersum,Coontail,52.8,55,East cell,0.838,2,0
2023-LCS-NWA-160823-001A,2023,Nymphaea sp.,White water lily,191.7,230,East cell,0.838,2,0
2023-LCS-NWA-160823-002A,2023,Utricularia sp.,Bladderwort sp.,46.7,48,East cell,0.85,2,0
