Project Name,Project,Field Number,Historical Project Code,Date,Day,Month,Year,Date fished,Waterbody Name,Start Time,Stop Time,Start Latitude,Start Longitude,Gear,Effort,Quantification of Effort,Air Temperature,Water Temperature,Conductivity,Dissolved Oxygen,pH,Secchi Tube > measured,Secchi Tube (m),Turbidity (ntu),Distance From Shore (m),Dominant Vegetation,Floodplain Use,Bank Slope (%),Channel Cover (%),Weather Conditions,Wind Speed (km/h),Wind Direction,Weather Notes,Emergent,Floating,Submerged,Open Water,Dominant_aqua_veg,Deciduous,Coniferous,Herbaceous,shrubs,None,tbl1-4_riparian_veg.Unknown,Not recorded,Dominant_riparian_veg,Aquatic Animal Notes,Description of Gear,Narrative Locality Description,Notes_SpeciesID,Final Notes
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-080823-001A,,8-Aug-23,8,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,4:57:00 PM,9:53:00 AM,42.37674,-82.40026,MFN,16.93,hours,31.7,22.83,389.3,8.39,7.72,FALSE,1.02,4.6,,Ceratophyllum demersum,,,,Mixed sun and cloud,3.3,SW,,5,10,75,10,Submerged,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East Cell,,"miniDOT launched at 16:57. Fyke Logger @9:53 am: 22.24 degrees C, 3.14 mg/L."
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-080823-002A,,8-Aug-23,8,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,5:39:00 PM,10:47:00 AM,42.3727,-82.39969,MFN,17.13,hours,32.4,22.81,423.7,7.11,7.35,FALSE,1.18,9.11,,Ceratophyllum demersum,,,,Mixed sun and cloud,1.5,SW,,5,65,20,10,Floating,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East, along berm, past pedestrian bridge",,HIS: 32.5
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-080823-003A,,8-Aug-23,8,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,6:08:00 PM,11:35:00 AM,42.37053,-82.40087,MFN,17.45,hours,29.4,21.35,423.7,2.46,7.18,FALSE,1.19,14.01,,Nymphaea sp.,,,,Mixed sun and cloud,4.5,SW,,5,50,35,10,Floating,0,0,80,20,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, North of viewing platform",,"Fyke logger (when pulled): 21.74 degrees C, 1.28 mg/L."
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-080823-004A,,8-Aug-23,8,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,6:43:00 PM,12:16:00 PM,42.36695,-82.40346,MFN,17.55,hours,30.4,21.74,416.1,3.12,7.17,TRUE,,13.42,,Myriophyllum spicatum,,,,Mixed sun and cloud,0,,,5,50,40,5,Floating,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm, South of viewing platform","central mudminnow and 9 juvenile lake chubsucker morts partially digested, likely regurgitated by the Bowf",Secchi tube depth was greater than 1.2 m.
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-080823-005A,,8-Aug-23,8,8,2023,9-Aug-23,St. Clair NWA - East Cell SCU,7:13:00 PM,1:05:00 PM,42.3652,-82.4044,MFN,17.87,hours,29.4,21.94,750.4,2.8,7.09,FALSE,1.2,15.29,,Nymphaea sp.,,,,Mixed sun and cloud,0,,,5,50,40,5,Floating,0,0,100,0,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Fyke logger: 22.05 degrees C, 1.60 mg/L"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-090823-001A,,9-Aug-23,9,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,3:56:00 PM,8:18:00 AM,42.37432,-82.39981,MFN,16.37,hours,27.7,25.77,484.2,8.85,8.01,TRUE,,6.5,,Ceratophyllum demersum,,,,Mixed sun and cloud,7.4,SW,"hazy, breezy",10,20,60,10,Submerged,0,0,45,55,0,0,,Shrubs,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening","East cell, along berm",,"Secchi tube depth was greater than 1.2 m. Fyke logger @8:20 am: 23.27 degrees C, 3.34 mg/L"
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-090823-002A,,9-Aug-23,9,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,4:24:00 PM,9:01:00 AM,42.37138,-82.40026,MFN,16.62,hours,26.4,23.43,453,4.04,7.39,TRUE,,6.23,,Nymphaea sp.,,,,Mixed sun and cloud,8.6,SW,,5,45,45,5,Floating,0,0,40,60,0,0,,Shrubs,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Arrival time not recorded. Secchi tube depth was greater than 1.2 m. Fyke logger @9:10: 21.66 degrees C, 0.45 mg/L."
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-090823-003A,,9-Aug-23,9,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,4:40:00 PM,9:54:00 AM,42.36848,-82.40214,MFN,17.4,hours,27.2,23.59,486,2.78,7.2,TRUE,,20.84,,Hydrocharis morsus-ranae,,,,Mixed sun and cloud,10.1,SW,,15,60,20,5,Floating,0,0,95,5,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,"Secchi tube depth was greater than 1.2 m. Fyke logger (when fished): 21.91 degrees C, 0.28 mg/L."
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-090823-004A,,9-Aug-23,9,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,5:07:00 PM,10:21:00 AM,42.36789,-82.40285,MFN,17.23,hours,26.4,22.085,464.7,2.33,7.16,TRUE,,10.5,,Nymphaea odorata ssp. odorata,,,,Cloudy,5.9,SW,getting windy!,5,60,30,5,Floating,0,0,95,5,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,Secchi tube depth was greater than 1.2 m.
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-,2023-LCS-NWA-090823-005A,,9-Aug-23,9,8,2023,10-Aug-23,St. Clair NWA - East Cell SCU,5:20:00 PM,10:53:00 AM,42.36626,-82.4038,MFN,17.55,hours,26.7,21.61,438.7,1.3,7.08,TRUE,,13.67,,Nymphaea odorata ssp. odorata,,,,Cloudy,9.1,SW,breezy,5,70,20,5,Floating,0,0,80,20,0,0,,Herbaceous,,"Mini Fyke Net: (SAR) 1/8"" mesh, two 2'x4' box, two 2' hoops, 2'x25' lead, 2'x15' wings, 3"" winker opening",East cell,,Secchi tube depth was greater than 1.2 m. Turtle bycatch - details on turtle log.
