Field Number,Site Code,O2logged?,Logger,Column1,Cell,Depth Category,Depth_nearshore,Depth_at box,Depth_Cod,SAV Rake Depth,SAV Category,Fil. Algae Category,Sample Kept,Total SAV weight (g),Total SAV Volume (mL),Audited by,Audit date
2023-LCS-NWA-080823-001A,E-01,TRUE,7450-770855,BLUE,East,1,nr,1.490,nr,1.200,3,0,TRUE,542.5,550,R. Gaspardy,1/24/2024
2023-LCS-NWA-080823-002A,E-02,TRUE,7450-049711,PINK,East,1,nr,1.490,nr,1.260,3,0,TRUE,392.0,380,R. Gaspardy,1/25/2024
2023-LCS-NWA-080823-003A,E-03,TRUE,7450-064567,GREEN,East,2,nr,0.980,nr,0.940,3,0,TRUE,279.7,306,R. Gaspardy,1/25/2024
2023-LCS-NWA-080823-004A,E-04,FALSE,NA,NA,East,1,nr,1.250,nr,1.250,1,0,TRUE,74.4,86,R. Gaspardy,1/25/2024
2023-LCS-NWA-080823-005A,E-05,TRUE,7450-778298,CLEAR,East,1,nr,1.320,nr,1.230,1,0,TRUE,27.1,25,R. Gaspardy,1/25/2024
2023-LCS-NWA-090823-001A,E-06,TRUE,7450-049711,PINK,East,1,nr,1.580,nr,1.230,1,0,TRUE,132.1,130,R. Gaspardy,1/25/2024
2023-LCS-NWA-090823-002A,E-07,TRUE,7450-770855,BLUE,East,2,nr,0.738,nr,0.698,3,0,TRUE,351.9,367,R. Gaspardy,1/25/2024
2023-LCS-NWA-090823-003A,E-08,TRUE,7450-778298,CLEAR,East,3,nr,0.520,nr,0.455,1,0,TRUE,163.7,180,R. Gaspardy,1/25/2024
2023-LCS-NWA-090823-004A,E-09,FALSE,NA,NA,East,1,nr,1.170,nr,1.030,3,0,TRUE,1390.2,1440,R. Gaspardy,1/25/2024
2023-LCS-NWA-090823-005A,E-10,FALSE,NA,NA,East,2,nr,0.880,nr,0.710,1,0,TRUE,125.0,152,R. Gaspardy,1/25/2024
2023-LCS-NWA-090823-006A,E-11,TRUE,7450-064567,GREEN,East,1,nr,1.150,nr,1.000,2,0,TRUE,211.1,217,R. Gaspardy,1/25/2024
2023-LCS-NWA-100823-001A,E-12,TRUE,7450-770855,BLUE,East,1,nr,1.782,nr,1.600,3,0,TRUE,898.9,938,R. Gaspardy,1/25/2024
2023-LCS-NWA-100823-002A,E-13,FALSE,NA,NA,East,1,nr,1.060,nr,1.310,1,0,TRUE,267.4,300,R. Gaspardy,1/25/2024
2023-LCS-NWA-100823-003A,E-14,TRUE,7450-778298,CLEAR,East,2,nr,0.780,nr,0.775,1,0,TRUE,122.3,142,R. Gaspardy,1/25/2024
2023-LCS-NWA-100823-004A,E-15,FALSE,NA,NA,East,2,nr,0.840,nr,0.758,2,1,TRUE,91.4,102,R. Gaspardy,1/25/2024
2023-LCS-NWA-100823-005A,E-16,TRUE,7450-049711,PINK,East,3,nr,0.640,nr,0.834,1,0,TRUE,98.7,112,R. Gaspardy,1/25/2024
2023-LCS-NWA-100823-006A,E-17,TRUE,7450-064567,GREEN,East,3,nr,0.650,nr,0.605,3,1,TRUE,322.3,328,R. Gaspardy,1/25/2024
2023-LCS-NWA-140823-001A,E-18,TRUE,7450-770855,BLUE,East,1,0.731,1.272,1.350,1.284,3,0,TRUE,1846.2,1848,R. Gaspardy,1/25/2024
2023-LCS-NWA-140823-002A,E-19,FALSE,NA,NA,East,3,0.200,0.504,0.690,0.490,2,0,TRUE,296.5,336,R. Gaspardy,1/25/2024
2023-LCS-NWA-140823-003A,E-20,TRUE,7450-049711,PINK,East,1,0.663,1.292,1.280,1.292,2,0,TRUE,92.2,94,R. Gaspardy,1/25/2024
2023-LCS-NWA-140823-004A,E-21,TRUE,7450-778298,CLEAR,East,3,0.440,0.672,0.618,0.672,3,0,TRUE,62.2,65,R. Gaspardy,1/25/2024
2023-LCS-NWA-140823-005A,E-22,FALSE,NA,NA,East,1,0.190,1.030,1.170,1.030,0,0,FALSE,0.0,0,R. Gaspardy,1/25/2024
2023-LCS-NWA-140823-006A,E-23,TRUE,7450-064567,GREEN,East,3,0.399,0.573,0.584,0.573,1,0,TRUE,15.1,18,R. Gaspardy,1/25/2024
2023-LCS-NWA-150823-001A,E-24,TRUE,7450-049711,PINK,East,3,0.539,0.419,0.530,0.539,1,0,TRUE,78.5,100,R. Gaspardy,1/25/2024
2023-LCS-NWA-150823-002A,E-25,FALSE,NA,NA,East,3,0.164,0.473,0.524,0.430,2,0,TRUE,41.4,48,R. Gaspardy,1/25/2024
2023-LCS-NWA-150823-003A,E-26,TRUE,7450-778298,CLEAR,East,3,0.496,0.433,0.532,0.491,1,0,TRUE,4.6,6,R. Gaspardy,1/25/2024
2023-LCS-NWA-150823-004A,E-27,FALSE,NA,NA,East,3,0.455,0.660,1.044,0.785,3,0,TRUE,252.7,301,R. Gaspardy,1/25/2024
