Common Name,Species,2023 East Cell,2023 East Cell CPUE,2024 East Cell,2024 East Cell CPUE,2023 West Cell,2023 West Cell CPUE,2024 West Cell,2024 West Cell CPUE
Black Bullhead,Ameiurus melas,14,0.02 ± 0.06,0,0.00 ± 0.00,9,0.01 ± 0.03,4,0.00 ± 0.02
Yellow Bullhead,Ameiurus natalis,0,0.00 ± 0.00,2,0.00 ± 0.01,1,0.00 ± 0.01,2,0.00 ± 0.01
Brown Bullhead,Ameiurus nebulosus,5,0.01 ± 0.02,0,0.00 ± 0.00,3,0.00 ± 0.02,4,0.01 ± 0.02
Bowfin,Amia ocellicauda,30,0.05 ± 0.06,51,0.06 ± 0.10,70,0.10 ± 0.11,39,0.05 ± 0.06
Goldfish,Carassius auratus,9,0.01 ± 0.05,0,0.00 ± 0.00,0,0.00 ± 0.00,0,0.00 ± 0.00
Goldfish x Common Carp hybrid,Carassius auratus X Cyprinus carpio,2,0.00 ± 0.01,0,0.00 ± 0.00,0,0.00 ± 0.00,0,0.00 ± 0.00
Common Carp,Cyprinus carpio,3,0.00 ± 0.02,1,0.00 ± 0.01,1,0.00 ± 0.01,2,0.00 ± 0.01
Lake Chubsucker,Erimyzon sucetta,47,0.07 ± 0.17,3,0.00 ± 0.01,104,0.15 ± 0.41,34,0.04 ± 0.07
Northern Pike,Esox lucius,4,0.01 ± 0.02,3,0.00 ± 0.01,1,0.00 ± 0.01,2,0.00 ± 0.01
Pumpkinseed,Lepomis gibbosus,403,0.60 ± 0.81,206,0.26 ± 0.30,420,0.60 ± 0.75,202,0.25 ± 0.32
Pumpkinseed x Bluegill hybrid,Lepomis gibbosus X Lepomis macrochirus,0,0.00 ± 0.00,0,0.00 ± 0.00,1,0.00 ± 0.01,0,0.00 ± 0.00
Bluegill,Lepomis macrochirus,109,0.17 ± 0.34,84,0.11 ± 0.15,160,0.23 ± 0.46,164,0.21 ± 0.28
Sunfish species,Lepomis sp,214,0.32 ± 0.94,0,0.00 ± 0.00,180,0.23 ± 0.61,2,0.00 ± 0.01
Largemouth Bass,Micropterus nigricans,78,0.12 ± 0.18,155,0.19 ± 0.36,21,0.03 ± 0.09,23,0.03 ± 0.05
Golden Shiner,Notemigonus crysoleucas,146,0.22 ± 0.59,503,0.62 ± 1.94,195,0.28 ± 0.68,49,0.06 ± 0.12
Tadpole Madtom,Noturus gyrinus,0,0.00 ± 0.00,1,0.00 ± 0.01,0,0.00 ± 0.00,0,0.00 ± 0.00
Yellow Perch,Perca flavescens,0,0.00 ± 0.00,1,0.00 ± 0.01,0,0.00 ± 0.00,0,0.00 ± 0.00
Black Crappie,Pomoxis nigromaculatus,85,0.13 ± 0.13,69,0.09 ± 0.15,59,0.08 ± 0.12,17,0.02 ± 0.03
Central Mudminnow,Umbra limi,15,0.02 ± 0.04,18,0.02 ± 0.04,5,0.01 ± 0.02,2,0.00 ± 0.01
