"","Group.1","Group.2","Group.3","x"
"1","Ameiurus melas",2023,"St. Clair NWA - East Cell SCU",14
"2","Ameiurus nebulosus",2023,"St. Clair NWA - East Cell SCU",5
"3","Amia ocellicauda",2023,"St. Clair NWA - East Cell SCU",30
"4","Carassius auratus",2023,"St. Clair NWA - East Cell SCU",9
"5","Carassius auratus X Cyprinus carpio",2023,"St. Clair NWA - East Cell SCU",2
"6","Cyprinus carpio",2023,"St. Clair NWA - East Cell SCU",3
"7","Erimyzon sucetta",2023,"St. Clair NWA - East Cell SCU",47
"8","Esox lucius",2023,"St. Clair NWA - East Cell SCU",4
"9","Lepomis gibbosus",2023,"St. Clair NWA - East Cell SCU",403
"10","Lepomis macrochirus",2023,"St. Clair NWA - East Cell SCU",113
"11","Lepomis sp",2023,"St. Clair NWA - East Cell SCU",213
"12","Micropterus nigricans",2023,"St. Clair NWA - East Cell SCU",78
"13","Notemigonus crysoleucas",2023,"St. Clair NWA - East Cell SCU",148
"14","Pomoxis nigromaculatus",2023,"St. Clair NWA - East Cell SCU",84
"15","Umbra limi",2023,"St. Clair NWA - East Cell SCU",15
"16","Ameiurus natalis",2024,"St. Clair NWA - East Cell SCU",2
"17","Amia ocellicauda",2024,"St. Clair NWA - East Cell SCU",51
"18","Cyprinus carpio",2024,"St. Clair NWA - East Cell SCU",1
"19","Erimyzon sucetta",2024,"St. Clair NWA - East Cell SCU",3
"20","Esox lucius",2024,"St. Clair NWA - East Cell SCU",3
"21","Lepomis gibbosus",2024,"St. Clair NWA - East Cell SCU",206
"22","Lepomis macrochirus",2024,"St. Clair NWA - East Cell SCU",84
"23","Micropterus nigricans",2024,"St. Clair NWA - East Cell SCU",155
"24","Notemigonus crysoleucas",2024,"St. Clair NWA - East Cell SCU",503
"25","Noturus gyrinus",2024,"St. Clair NWA - East Cell SCU",1
"26","Perca flavescens",2024,"St. Clair NWA - East Cell SCU",1
"27","Pomoxis nigromaculatus",2024,"St. Clair NWA - East Cell SCU",69
"28","Umbra limi",2024,"St. Clair NWA - East Cell SCU",18
"29","Ameiurus melas",2023,"St. Clair NWA - West Cell SCU",9
"30","Ameiurus natalis",2023,"St. Clair NWA - West Cell SCU",1
"31","Ameiurus nebulosus",2023,"St. Clair NWA - West Cell SCU",3
"32","Amia ocellicauda",2023,"St. Clair NWA - West Cell SCU",70
"33","Cyprinus carpio",2023,"St. Clair NWA - West Cell SCU",1
"34","Erimyzon sucetta",2023,"St. Clair NWA - West Cell SCU",104
"35","Esox lucius",2023,"St. Clair NWA - West Cell SCU",1
"36","Lepomis gibbosus",2023,"St. Clair NWA - West Cell SCU",420
"37","Lepomis gibbosus X Lepomis macrochirus",2023,"St. Clair NWA - West Cell SCU",1
"38","Lepomis macrochirus",2023,"St. Clair NWA - West Cell SCU",160
"39","Lepomis sp",2023,"St. Clair NWA - West Cell SCU",180
"40","Micropterus nigricans",2023,"St. Clair NWA - West Cell SCU",21
"41","No fish captured",2023,"St. Clair NWA - West Cell SCU",0
"42","Notemigonus crysoleucas",2023,"St. Clair NWA - West Cell SCU",195
"43","Pomoxis nigromaculatus",2023,"St. Clair NWA - West Cell SCU",59
"44","Umbra limi",2023,"St. Clair NWA - West Cell SCU",5
"45","Ameiurus melas",2024,"St. Clair NWA - West Cell SCU",4
"46","Ameiurus natalis",2024,"St. Clair NWA - West Cell SCU",2
"47","Ameiurus nebulosus",2024,"St. Clair NWA - West Cell SCU",4
"48","Amia ocellicauda",2024,"St. Clair NWA - West Cell SCU",39
"49","Cyprinus carpio",2024,"St. Clair NWA - West Cell SCU",2
"50","Erimyzon sucetta",2024,"St. Clair NWA - West Cell SCU",34
"51","Esox lucius",2024,"St. Clair NWA - West Cell SCU",2
"52","Lepomis gibbosus",2024,"St. Clair NWA - West Cell SCU",202
"53","Lepomis macrochirus",2024,"St. Clair NWA - West Cell SCU",164
"54","Lepomis sp",2024,"St. Clair NWA - West Cell SCU",2
"55","Micropterus nigricans",2024,"St. Clair NWA - West Cell SCU",23
"56","No fish captured",2024,"St. Clair NWA - West Cell SCU",0
"57","Notemigonus crysoleucas",2024,"St. Clair NWA - West Cell SCU",49
"58","Pomoxis nigromaculatus",2024,"St. Clair NWA - West Cell SCU",17
"59","Umbra limi",2024,"St. Clair NWA - West Cell SCU",2
