"","Variable","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","log(Conductivity [µS/cm])","(Intercept)",6.10428784038746,0.0172710842486098,353.439758183034,2.99029556650257e-217,6.07015614841462,6.1384195323603
"2","log(Conductivity [µS/cm])","Year2024",-0.211178400289569,0.0236494060888394,-8.9295434945078,1.60775264700696e-15,-0.257915144337925,-0.164441656241213
"3","log(Conductivity [µS/cm])","CellWest Cell",-0.134168453880434,0.0242547904373223,-5.5316270089879,1.4136473684051e-07,-0.182101578642946,-0.0862353291179215
"4","log(Conductivity [µS/cm])","Year2024:CellWest Cell",0.132010668087934,0.0333212090660428,3.96176104613395,0.000115629417858669,0.0661601848389553,0.197861151336912
"5","log(Dissolved oxygen [mg/L])","(Intercept)",0.999875989767232,0.12342453428182,8.10111211344881,1.92408154656373e-13,0.755960313984607,1.24379166554986
"6","log(Dissolved oxygen [mg/L])","Year2024",0.167106909452527,0.169006003939306,0.98876315371931,0.324403746221308,-0.166888384935624,0.501102203840678
"7","log(Dissolved oxygen [mg/L])","CellWest Cell",-0.0390420617897336,0.173332268590527,-0.22524404778873,0.82210225271278,-0.381587064484723,0.303502940905255
"8","log(Dissolved oxygen [mg/L])","Year2024:CellWest Cell",-0.078514959162773,0.238123713108199,-0.329723395196249,0.742078350144627,-0.549102972645029,0.392073054319483
"9","log(Turbidity [NTU])","(Intercept)",2.96171557540644,0.163102979776856,18.1585620290838,7.61241304442086e-39,2.63929181188927,3.2841393389236
"10","log(Turbidity [NTU])","Year2024",-1.92145865987001,0.223337953050232,-8.60336827497405,1.30525274769531e-14,-2.36295558075517,-1.47996173898486
"11","log(Turbidity [NTU])","CellWest Cell",-0.756010301079091,0.229055022675191,-3.30056198833562,0.00122027264320596,-1.20880878805023,-0.30321181410795
"12","log(Turbidity [NTU])","Year2024:CellWest Cell",0.824816106996247,0.319915683712756,2.57822966796723,0.0109486843234666,0.192403266397301,1.45722894759519
"13","log(Water temperature [°C])","(Intercept)",3.13775251543862,0.0141022521851088,222.500099576429,9.20066266765933e-188,3.10988317493997,3.16562185593728
"14","log(Water temperature [°C])","Year2024",-0.0561395227639671,0.0193103040835265,-2.90723142013384,0.00421179852777252,-0.0943011888987296,-0.0179778566292046
"15","log(Water temperature [°C])","CellWest Cell",-0.0702772930051676,0.0198046148418051,-3.54853116642394,0.000520442502119272,-0.109415832525386,-0.0311387534849497
"16","log(Water temperature [°C])","Year2024:CellWest Cell",0.0766294890229625,0.0272075618761395,2.81647761647342,0.0055227037422517,0.0228609989895052,0.13039797905642
"17","pH","(Intercept)",7.27588235294117,0.0503951363991622,144.376677449813,2.04372073913622e-159,7.17628414410603,7.37548056177632
"18","pH","Year2024",0.226867647058824,0.0685447961516905,3.30977200014956,0.00117630792034742,0.0913994370394127,0.362335857078236
"19","pH","CellWest Cell",0.0213398692810467,0.0702726602615189,0.303672426824752,0.761809795838264,-0.117543197463553,0.160222936025647
"20","pH","Year2024:CellWest Cell",-0.00833986928104691,0.0962064727230145,-0.0866871952062727,0.931038929754081,-0.198477113590974,0.18179737502888
