"","Common_Name","2023_East cell","2024_East cell","2024_West cell","2023_West cell"
"1","Algae",1,1,1,0
"2","American lotus",0,0,1,1
"3","Arrowhead sp.",0,1,1,1
"4","Bladderwort sp.",1,1,1,1
"5","Brittle naiad/Brittle water nymph",0,1,1,0
"6","Bulrush sp.",0,0,1,0
"7","Burreed sp.",0,1,1,0
"8","Canada waterweed",1,1,1,1
"9","Cattail sp.",1,1,1,1
"10","Common bladderwort",0,1,1,0
"11","Common reed",1,0,0,0
"12","Coontail",1,1,1,1
"13","Crowfoot sp.",0,1,1,0
"14","Curly-leaved pondweed",0,1,0,1
"15","Duckweed sp.",1,1,1,1
"16","Eurasian water milfoil",1,1,1,0
"17","European frog-bit",1,1,1,1
"18","Fern pondweed",0,1,1,0
"19","Flat-stemmed pondweed",0,1,1,0
"20","Floating pondweed",0,0,1,0
"21","Floating slender liverwort/Floating crystalwort",0,1,1,0
"22","Greater duckweed",0,1,1,0
"23","Humped bladderwort",0,1,1,0
"24","Lesser duckweed",0,1,1,0
"25","Milfoil sp.",1,1,1,0
"26","Naiad sp.",1,1,0,0
"27","Northern water milfoil",0,1,1,0
"28","Pickerelweed",1,1,1,1
"29","Pondweed sp.",0,0,1,0
"30","Rush sp.",0,1,0,0
"31","Sago pondweed",1,1,1,1
"32","Slender naiad/ water nymph",0,1,0,0
"33","Slender pondweed",1,1,1,1
"34","Star duckweed",1,1,1,1
"35","Starry stonewort",0,1,1,0
"36","Stonewort (Starry)",1,0,0,0
"37","Stonewort sp.",0,1,1,0
"38","Swamp loosestrife",0,1,0,0
"39","Watermeal sp.",0,1,1,0
"40","White water lily",1,1,1,1
