"","Cell","Year","Species","weight","volume"
"1","East","2023","Algae",41.1,40
"2","East","2023","Ceratophyllum demersum",3508.4,3547
"3","East","2023","Chara sp.",349.2,355
"4","East","2023","Elodea canadensis",968,963
"5","East","2023","Hydrocharis morsus-ranae",114.4,138
"6","East","2023","Lemna sp.",0,0
"7","East","2023","Lemna trisulca",0.7,0
"8","East","2023","Myriophyllum spicatum",370.7,412
"9","East","2023","Najas sp.",27.2,28
"10","East","2023","Nymphaea sp.",3306.8,3644
"11","East","2023","Potamogeton pusillus",82.4,86
"12","East","2023","Stuckenia pectinatus",184.4,192
"13","East","2023","Utricularia sp.",240.3,254
"14","East","2024","Algae",NA,NA
"15","East","2024","Ceratophyllum demersum",NA,NA
"16","East","2024","Decodon verticillatus",NA,NA
"17","East","2024","Elodea canadensis",NA,NA
"18","East","2024","Hydrocharis morsus-ranae",NA,NA
"19","East","2024","Juncus sp.",NA,NA
"20","East","2024","Lemna minor",NA,NA
"21","East","2024","Lemna sp.",0,0
"22","East","2024","Lemna trisulca",NA,NA
"23","East","2024","Myriophyllum sibiricum",317.2,377
"24","East","2024","Myriophyllum sp.",11.5,13
"25","East","2024","Myriophyllum spicatum",NA,NA
"26","East","2024","Najas flexilis",12.6,15
"27","East","2024","Najas minor",119.8,124
"28","East","2024","Najas sp.",NA,NA
"29","East","2024","Nitella sp.",NA,NA
"30","East","2024","Nitellopsis obtusa",603.7,623
"31","East","2024","Nymphaea sp.",NA,NA
"32","East","2024","Pontederia cordata",NA,NA
"33","East","2024","Potamogeton crispus",NA,NA
"34","East","2024","Potamogeton pusillus",NA,NA
"35","East","2024","Potamogeton robbinsii",NA,NA
"36","East","2024","Potamogeton zosteriformis",114.5,117
"37","East","2024","Ranunculus sp.",10.4,11
"38","East","2024","Riccia fluitans",0.4,0
"39","East","2024","Sagittaria sp.",NA,NA
"40","East","2024","Sparganium sp.",NA,NA
"41","East","2024","Spirodela polyrhiza",NA,NA
"42","East","2024","Stuckenia pectinatus",NA,NA
"43","East","2024","Typha sp.",NA,NA
"44","East","2024","Utricularia gibba",11.6,12
"45","East","2024","Utricularia sp.",NA,NA
"46","East","2024","Utricularia vulgaris",411.9,426
"47","East","2024","Wolffia sp.",NA,NA
"48","West","2023","Ceratophyllum demersum",NA,NA
"49","West","2023","Elodea canadensis",NA,NA
"50","West","2023","Hydrocharis morsus-ranae",720.3,866
"51","West","2023","Lemna sp.",0,0
"52","West","2023","Lemna trisulca",42,42
"53","West","2023","Nelumbo lutea",453.9,546
"54","West","2023","Nymphaea sp.",NA,NA
"55","West","2023","Potamogeton pusillus",12.7,12
"56","West","2023","Stuckenia pectinatus",33.5,35
"57","West","2023","Utricularia sp.",465.9,496
"58","West","2024","Algae",NA,NA
"59","West","2024","Ceratophyllum demersum",NA,NA
"60","West","2024","Elodea canadensis",NA,NA
"61","West","2024","Hydrocharis morsus-ranae",NA,NA
"62","West","2024","Lemna minor",NA,NA
"63","West","2024","Lemna sp.",0,0
"64","West","2024","Lemna trisulca",NA,NA
"65","West","2024","Myriophyllum sibiricum",NA,NA
"66","West","2024","Myriophyllum sp.",NA,NA
"67","West","2024","Myriophyllum spicatum",NA,NA
"68","West","2024","Najas minor",57.9,61
"69","West","2024","Nelumbo lutea",NA,NA
"70","West","2024","Nitella sp.",NA,NA
"71","West","2024","Nitellopsis obtusa",203.9,210
"72","West","2024","Nymphaea sp.",NA,NA
"73","West","2024","Pontederia cordata",NA,NA
"74","West","2024","Potamogeton natans",10.3,15
"75","West","2024","Potamogeton pusillus",10.3,11
"76","West","2024","Potamogeton robbinsii",NA,NA
"77","West","2024","Potamogeton sp.",0,0
"78","West","2024","Potamogeton zosteriformis",NA,NA
"79","West","2024","Ranunculus sp.",3.9,4
"80","West","2024","Riccia fluitans",0.1,0
"81","West","2024","Sagittaria sp.",NA,NA
"82","West","2024","Schoenplectus sp.",NA,NA
"83","West","2024","Sparganium sp.",NA,NA
"84","West","2024","Spirodela polyrhiza",NA,NA
"85","West","2024","Stuckenia pectinatus",NA,NA
"86","West","2024","Typha sp.",NA,NA
"87","West","2024","Utricularia gibba",2.9,4
"88","West","2024","Utricularia sp.",NA,NA
"89","West","2024","Utricularia vulgaris",257.6,277
"90","West","2024","Wolffia sp.",NA,NA
